num,query_name,cand_name,AMT_avg_score
103,S001C002P006R002A026,S002C002P011R002A009,1.090909091
104,S027C002P082R002A100,S013C002P037R002A027,1.1
105,S021C003P059R001A096,S032C002P102R002A098,1.2
106,S011C003P038R001A040,S014C001P025R001A007,1.222222222
107,S008C003P029R001A009,S012C001P008R001A009,3.454545455
108,S002C001P011R002A023,S006C003P023R001A023,3.833333333
109,S002C001P011R002A022,S010C002P021R002A022,2.7
110,S027C001P084R001A098,S008C002P031R002A040,1.5
111,S027C002P084R002A096,S030C001P092R001A096,2.2
112,S023C002P066R002A080,S029C002P080R002A080,3.333333333
113,S001C003P007R001A040,S008C002P033R002A007,1
114,S006C003P022R001A009,S006C003P017R001A026,1
115,S007C001P018R002A026,S030C002P096R002A099,1.666666667
116,S016C001P040R002A023,S002C001P013R001A023,3
117,S001C001P003R002A040,S008C001P034R002A039,1.6
118,S031C001P097R001A101,S027C003P083R001A101,3.9
119,S011C003P001R001A009,S008C001P029R002A027,1.3
120,S029C002P080R002A080,S006C001P023R002A035,1.222222222
121,S005C003P021R001A007,S002C001P013R001A022,1
122,S016C001P039R002A027,S008C001P029R002A027,3.5
123,S029C003P080R001A099,S027C002P079R002A099,3.2
124,S006C002P008R002A026,S010C001P021R002A026,3.272727273
125,S012C001P008R001A009,S008C001P031R002A026,1
126,S008C002P035R002A035,S008C001P035R002A035,4
127,S012C002P028R002A022,S013C001P027R002A007,1
128,S032C001P105R001A100,S006C001P022R002A026,2
129,S004C003P003R001A035,S008C001P035R002A035,3.75
130,S008C001P033R002A007,S001C001P005R002A007,3.6
131,S027C001P080R002A096,S002C003P014R001A039,1.1
132,S002C003P013R001A039,S016C001P040R001A040,1.333333333
133,S027C001P086R001A096,S003C001P019R001A022,1.2
134,S029C003P080R001A104,S020C001P053R001A104,1.666666667
135,S006C002P001R002A040,S008C003P034R001A040,3.6
136,S010C001P013R002A040,S002C001P010R002A040,3.444444444
137,S032C001P044R002A101,S003C002P002R002A035,1.3
138,S001C001P006R001A007,S002C003P014R001A023,1.1
139,S021C001P058R002A099,S019C002P008R002A100,1.777777778
140,S006C003P023R001A039,S001C001P004R001A039,3.8
141,S031C003P043R001A100,S006C002P022R002A027,1.4
142,S030C003P095R001A098,S025C001P068R002A098,3.545454545
143,S027C001P081R002A097,S016C001P040R001A022,1.222222222
144,S005C003P018R001A008,S002C002P011R002A035,1.1
145,S007C002P025R002A009,S025C003P056R001A080,1.1
146,S027C003P084R001A101,S029C001P080R002A101,3.636363636
147,S020C003P052R001A096,S031C001P051R002A098,1.5
148,S011C003P001R001A009,S008C002P035R002A048,1.4
149,S014C001P008R001A035,S013C003P008R001A008,1
150,S006C003P024R001A008,S009C002P019R002A035,1.3
151,S010C003P008R001A039,S008C001P033R001A039,3.727272727
152,S012C001P037R002A039,S006C003P023R001A039,3.545454545
153,S003C001P002R001A048,S016C001P040R001A048,4
154,S011C001P038R001A039,S028C001P087R001A096,1.3
155,S027C001P084R001A101,S028C001P087R001A101,3.454545455
156,S002C001P012R002A040,S006C001P024R001A040,3.9
157,S008C001P029R002A048,S003C001P002R001A048,3.1
158,S011C001P038R001A039,S008C002P032R002A039,3.333333333
159,S008C001P036R001A026,S002C001P014R001A009,1.1
160,S005C003P021R001A007,S008C002P015R002A007,3.454545455
161,S006C003P022R001A039,S008C001P035R002A048,1
162,S008C002P036R002A009,S010C001P013R002A009,3.636363636
163,S031C003P006R001A104,S023C002P061R002A104,2.7
164,S016C002P040R002A026,S003C002P002R002A026,3.7
165,S013C003P027R001A027,S027C001P084R002A100,1.3
166,S012C001P027R002A009,S012C001P008R001A027,1
167,S027C001P086R001A104,S012C002P016R002A040,1.3
168,S028C003P043R001A096,S031C003P097R001A096,3.3
169,S011C001P015R002A022,S026C002P072R002A104,2
170,S031C001P097R001A098,S008C002P031R002A040,1.555555556
171,S030C003P095R001A095,S010C001P025R002A022,2.111111111
172,S016C001P040R002A007,S017C001P003R002A007,3.111111111
173,S001C001P006R001A039,S008C002P029R002A039,3.777777778
174,S023C001P058R002A104,S001C001P004R002A040,2.1
175,S008C003P035R001A008,S008C002P033R002A008,3.9
176,S021C002P058R002A099,S025C002P055R002A099,3.25
177,S029C003P051R001A097,S026C003P050R001A098,2.1
178,S010C001P025R002A027,S001C002P003R002A027,3.5
179,S021C003P060R001A098,S006C001P023R001A040,1.3
180,S015C002P016R002A027,S030C003P095R001A099,1.5
181,S010C001P008R001A023,S011C001P016R001A007,1.363636364
182,S026C001P051R001A095,S023C002P058R002A104,3.272727273
183,S024C003P064R001A095,S012C002P028R002A040,1.2
184,S002C002P012R002A009,S001C001P006R002A027,1.1
185,S026C002P076R002A098,S030C001P096R001A096,1.2
186,S008C001P034R002A022,S030C001P095R002A104,1.9
187,S006C001P024R002A035,S008C001P030R001A035,3.6
188,S028C001P073R001A080,S008C001P030R002A048,1.1
189,S008C002P031R002A048,S013C001P028R002A035,1.777777778
190,S013C001P027R001A026,S008C001P034R001A009,1
191,S026C003P050R001A097,S006C003P024R001A022,1.8
192,S016C003P039R001A035,S010C002P017R002A048,2.25
193,S027C001P083R001A097,S032C003P008R001A097,3.6
194,S026C001P050R001A102,S028C003P008R001A101,1
195,S014C003P039R001A007,S001C001P004R002A022,1
196,S029C002P080R002A080,S016C003P040R001A008,1.555555556
197,S011C002P038R002A008,S011C001P038R002A008,3.9
198,S028C002P073R002A102,S026C001P072R002A101,1.2
199,S030C003P088R001A080,S013C003P027R001A035,1.2
200,S023C002P066R002A080,S004C002P020R002A035,1.1
201,S001C003P004R001A007,S006C001P024R001A007,1.555555556
202,S021C003P060R001A104,S027C001P079R002A104,2.666666667
203,S021C003P059R001A095,S024C002P060R002A095,3.125
204,S031C003P006R001A098,S015C001P025R002A040,1.2
205,S004C003P003R001A035,S002C001P011R002A035,3.363636364
206,S008C002P033R002A008,S008C001P029R001A035,1.777777778
207,S021C001P056R001A095,S008C002P033R002A040,1.181818182
208,S001C001P006R002A027,S030C002P096R002A099,1.363636364
209,S017C001P020R001A009,S001C002P006R002A009,3.8
210,S032C003P106R001A080,S027C001P011R002A080,1.9
211,S028C001P043R002A101,S006C001P024R001A048,1.083333333
212,S008C003P029R001A009,S006C003P022R001A009,3.1
213,S010C002P025R002A027,S008C003P031R001A027,3.555555556
214,S026C002P072R002A100,S016C002P039R002A026,1.2
215,S030C001P092R002A080,S016C001P025R001A048,1.272727273
216,S002C002P003R002A008,S008C002P029R002A048,1
217,S020C001P052R002A101,S021C001P056R002A097,1
218,S023C002P059R002A102,S026C002P072R002A102,4
219,S030C001P092R001A096,S021C002P059R002A100,1
220,S027C001P084R001A098,S030C003P095R001A098,3.6
221,S008C001P029R001A023,S002C003P013R001A023,3.7
222,S030C001P095R002A097,S021C001P056R002A097,3.8
223,S016C001P040R002A007,S011C001P015R002A022,1.222222222
224,S023C001P059R001A099,S002C003P012R001A026,1.4
225,S007C003P016R001A026,S001C001P005R001A009,1.1
226,S027C001P083R001A100,S030C002P011R002A099,2.2
227,S029C001P080R001A097,S008C002P036R002A022,1.8
228,S006C001P024R001A009,S002C001P011R002A009,3.6
229,S028C001P087R001A098,S032C001P043R002A098,3.5
230,S031C001P097R002A100,S002C001P012R001A026,1.5
231,S005C002P010R002A008,S023C001P068R002A080,2.454545455
232,S002C002P014R002A007,S008C001P036R002A007,3.1
233,S030C001P095R002A097,S028C001P073R001A097,3.818181818
234,S008C001P035R001A040,S001C001P007R001A040,3.8
235,S014C001P007R001A007,S011C002P038R002A007,3.2
236,S006C001P001R002A040,S002C001P014R001A040,3.8
237,S013C001P027R001A026,S006C001P017R001A026,3.6
238,S001C001P005R001A048,S016C001P025R001A048,2
239,S023C003P066R001A101,S008C003P034R001A008,1.1
240,S004C001P020R002A035,S008C001P033R001A035,3.8
241,S026C001P050R001A102,S026C001P071R002A095,1
242,S013C002P027R002A007,S011C002P002R002A023,1.3
243,S002C001P013R002A035,S008C002P033R002A008,1.111111111
244,S008C002P033R002A009,S002C001P011R002A048,1
245,S032C001P106R001A096,S025C003P058R001A100,1.125
246,S003C003P002R001A039,S013C003P015R001A048,1
247,S031C001P097R001A101,S004C003P020R001A008,1
248,S016C001P025R002A026,S008C002P035R002A026,3.8
249,S016C003P040R001A009,S006C001P022R002A027,1
250,S008C003P034R001A027,S028C003P046R001A099,1.5
251,S030C002P095R002A104,S015C002P025R002A040,1
252,S008C001P029R001A022,S002C001P013R001A022,2.545454545
253,S027C001P081R001A095,S027C001P083R001A104,3.5
254,S002C001P014R001A035,S030C001P095R002A080,1.2
255,S031C001P051R002A099,S031C001P100R001A099,3.8
256,S002C002P011R002A023,S002C003P013R001A023,3.4
257,S016C003P040R001A040,S027C002P011R002A096,1.666666667
258,S003C001P018R001A027,S006C002P022R002A027,3.5
259,S010C001P013R002A009,S012C001P019R002A027,1.2
260,S031C001P099R001A080,S005C002P016R002A048,1.222222222
261,S001C002P006R002A023,S004C003P003R001A023,3.3
262,S002C003P014R001A035,S012C003P037R001A035,2.8
263,S032C001P105R002A097,S017C001P009R002A022,1.3
264,S006C001P023R002A008,S006C003P024R001A048,1.2
265,S017C001P003R001A039,S002C002P012R002A039,3.6
266,S024C003P061R001A100,S030C002P096R002A100,3.9
267,S027C001P081R002A080,S023C003P061R001A080,3.1
268,S027C003P086R001A080,S002C002P010R002A048,1.1
269,S026C001P071R002A080,S005C002P016R002A048,1.1
270,S001C001P006R001A040,S011C001P038R001A040,3.3
271,S002C001P012R001A048,S003C003P002R001A048,2.7
272,S032C001P105R002A104,S012C001P028R002A040,1.181818182
273,S008C001P029R001A009,S008C001P036R001A048,1.2
274,S013C001P027R001A026,S012C001P019R002A027,1.4
275,S009C003P007R001A026,S027C001P083R001A099,1.1
276,S027C002P011R002A098,S024C001P064R001A097,1.7
277,S010C001P013R002A009,S013C003P037R001A048,1
278,S011C002P002R002A023,S011C001P038R002A007,1.454545455
279,S026C001P071R001A098,S020C003P052R001A096,1.3
280,S008C003P032R001A027,S002C003P013R001A027,3.5
281,S028C001P073R001A080,S001C002P004R002A035,1.3
282,S008C002P035R002A009,S001C002P004R002A027,2
283,S004C003P003R001A048,S013C001P019R001A048,2
284,S020C003P052R001A100,S020C001P053R001A100,3
285,S008C003P032R001A027,S025C001P055R002A099,1.3
286,S019C003P046R001A101,S030C001P095R001A101,3.9
287,S008C003P031R001A035,S008C001P035R002A035,3.7
288,S026C002P072R002A101,S023C002P055R002A101,3.9
289,S025C002P055R002A099,S018C003P043R001A099,3.5
290,S026C001P071R001A098,S026C002P072R002A096,1.7
291,S011C001P028R002A048,S011C002P028R002A048,4
292,S021C001P060R001A104,S025C002P066R002A104,2.6
293,S014C002P039R002A023,S013C001P037R001A023,3.4
294,S030C001P044R002A102,S022C001P066R002A095,1.111111111
295,S002C001P011R001A008,S027C001P011R002A080,1.5
296,S013C001P019R001A048,S008C002P025R002A035,2.4
297,S023C001P061R002A096,S001C002P001R002A022,1.1
298,S005C003P021R001A040,S001C001P005R001A040,3.555555556
299,S022C002P064R002A098,S029C003P051R001A097,2
300,S006C003P001R001A008,S016C001P039R001A035,1.888888889
301,S014C002P037R002A026,S007C001P028R002A009,1.1
302,S028C002P073R002A104,S023C002P068R002A104,1.5
303,S019C001P046R001A101,S026C001P049R002A101,3.4
304,S016C003P040R001A040,S020C001P052R001A096,1.444444444
305,S027C001P085R002A102,S023C003P066R001A102,3
306,S008C001P032R002A048,S003C003P002R001A048,2.8
307,S031C002P051R002A098,S021C001P055R001A096,1.2
308,S008C003P031R001A009,S006C001P023R001A026,1
309,S023C002P055R002A101,S002C001P013R002A035,1.1
310,S008C002P030R002A048,S006C001P023R001A039,1
311,S005C001P010R002A023,S032C002P105R002A104,1.222222222
312,S008C001P033R002A048,S004C003P003R001A048,2.3
313,S023C003P066R001A097,S032C001P104R002A097,3.6
314,S002C001P013R001A022,S008C001P033R001A022,3.111111111
315,S030C003P092R001A097,S032C003P105R001A098,2
316,S027C002P083R002A096,S021C001P059R001A096,3.5
317,S008C002P031R002A040,S011C001P002R002A040,3.888888889
318,S031C002P100R002A080,S002C001P011R002A048,1.083333333
319,S008C003P032R001A027,S026C002P072R002A099,2.2
320,S032C001P106R002A098,S023C001P056R002A098,3.6
321,S006C003P023R001A023,S001C002P005R002A023,3.363636364
322,S028C002P073R002A104,S021C002P055R002A095,2.1
323,S012C003P008R001A027,S007C001P015R002A027,3.545454545
324,S026C001P049R002A101,S014C002P037R002A008,1
325,S008C003P031R001A027,S006C001P024R001A026,1.5
326,S011C001P028R001A023,S008C001P036R002A007,1.5
327,S031C002P006R002A080,S010C002P021R002A008,1.666666667
328,S028C001P087R001A095,S005C001P021R001A040,1.2
329,S001C003P006R001A007,S002C001P013R001A023,1.7
330,S023C003P066R001A097,S032C001P105R002A104,2.3
331,S003C001P019R001A022,S006C001P022R002A022,3.636363636
332,S030C003P088R001A080,S001C001P002R001A008,2
333,S006C002P023R002A022,S004C001P020R002A022,2.5
334,S024C003P061R001A100,S020C001P053R001A100,3.9
335,S008C002P001R002A035,S008C002P033R002A048,2.3
336,S026C001P071R001A104,S019C002P050R002A095,1.777777778
337,S008C003P036R001A023,S011C001P015R002A022,1.3
338,S005C002P004R002A048,S013C001P018R002A048,2.909090909
339,S002C001P011R002A023,S008C002P015R002A007,1.25
340,S018C003P008R001A095,S031C002P097R002A095,3.4
341,S001C001P004R001A039,S024C001P060R002A096,1.3
342,S031C002P051R002A099,S016C002P040R002A026,1.5
343,S011C001P028R001A007,S008C001P015R002A007,3.818181818
344,S025C002P055R002A099,S028C001P073R001A100,1.4
345,S022C002P064R002A102,S030C003P092R001A101,1.1
346,S005C003P021R001A040,S005C003P018R001A007,1
347,S030C002P092R002A080,S027C002P011R002A080,3.222222222
348,S032C002P043R002A098,S027C003P083R001A098,3.888888889
349,S008C002P033R002A040,S017C002P003R002A007,1.1
350,S002C001P012R001A048,S016C001P021R002A039,1
351,S025C001P055R001A102,S026C001P049R002A102,3.2
352,S001C002P006R002A048,S008C001P031R002A039,1
353,S008C001P036R001A023,S015C001P019R002A023,2.9
354,S030C002P095R002A080,S008C003P030R001A035,1.2
355,S028C003P087R001A097,S023C002P055R002A098,1.9
356,S025C001P068R001A097,S026C001P076R002A098,1.3
357,S030C001P092R001A097,S027C001P086R002A098,2.5
358,S031C003P099R001A104,S029C003P080R001A104,1.1
359,S032C001P106R001A099,S031C001P051R002A099,3.6
360,S002C001P011R002A026,S011C001P038R002A026,4
361,S027C002P085R002A102,S031C001P096R001A095,1
362,S008C003P001R001A026,S007C003P016R001A026,3.8
363,S030C001P095R001A100,S030C003P095R001A099,1.8
364,S023C001P055R002A101,S027C003P084R001A101,3.8
365,S008C001P030R001A026,S008C003P030R001A026,3.9
366,S012C003P037R001A035,S001C002P005R002A035,3.090909091
367,S005C001P010R002A009,S010C001P013R002A009,3.5
368,S007C001P016R001A023,S014C001P037R001A007,1.666666667
369,S001C001P004R002A027,S001C002P004R002A027,4
370,S031C001P082R002A098,S031C002P051R002A098,3.8
371,S031C002P051R002A098,S026C002P076R002A098,4
372,S007C002P007R002A048,S004C003P003R001A035,1.9
373,S007C003P016R001A023,S019C001P050R002A104,1.4
374,S005C003P018R001A008,S002C002P011R002A048,1
375,S021C003P059R001A095,S008C003P036R001A040,1.125
376,S001C002P004R002A023,S011C003P028R001A023,3.6
377,S019C002P050R002A100,S029C003P006R001A099,1.4
378,S006C002P022R002A008,S008C001P032R002A008,3.7
379,S026C003P008R001A098,S020C003P053R001A097,1.3
380,S016C002P039R002A026,S002C001P009R002A026,3.6
381,S029C001P006R002A095,S022C001P066R002A095,3.636363636
382,S019C003P051R001A096,S026C002P076R002A098,1.2
383,S030C001P095R002A097,S029C002P080R002A098,2.363636364
384,S029C001P044R001A096,S008C001P034R002A039,1.545454545
385,S022C001P066R002A095,S005C003P021R001A040,1.3
386,S026C003P071R001A100,S017C001P003R002A026,1.25
387,S025C002P055R002A099,S016C001P040R002A027,1.3
388,S008C002P029R002A008,S007C002P007R002A048,1.2
389,S001C002P006R002A027,S016C001P021R001A027,3
390,S021C001P060R002A080,S002C001P003R002A008,1.7
391,S028C003P046R001A099,S007C001P015R002A027,1.3
392,S002C001P011R002A048,S008C001P032R002A048,2.888888889
393,S001C002P006R002A048,S013C001P028R002A035,3
394,S005C002P010R002A009,S005C001P010R002A009,4
395,S025C003P056R001A102,S021C002P058R002A095,1.7
396,S008C003P033R001A022,S019C002P050R002A104,1.363636364
397,S002C001P014R002A008,S007C001P026R002A008,3.777777778
398,S016C003P025R001A048,S002C001P012R001A048,3.363636364
399,S002C001P014R001A039,S010C003P021R001A048,1.6
400,S007C001P028R001A026,S005C001P004R001A026,3.777777778
401,S017C003P003R001A039,S013C001P037R001A048,1.777777778
402,S032C001P044R001A097,S025C001P059R001A104,2.2
403,S005C002P010R002A023,S023C001P064R002A104,1.3
404,S007C001P028R001A026,S009C003P017R001A027,1.4
405,S031C001P051R002A099,S002C002P011R002A027,1.2
406,S031C002P085R002A099,S020C003P052R001A100,1.666666667
407,S024C003P061R001A100,S016C003P021R001A027,1.272727273
408,S015C003P015R001A040,S008C001P001R002A007,1
409,S026C002P072R002A100,S002C002P009R002A026,1.818181818
410,S008C003P031R001A009,S017C002P007R002A009,4
411,S018C003P008R001A095,S029C001P080R001A104,1.9
412,S008C001P007R001A039,S008C002P029R002A039,4
413,S004C002P020R002A035,S013C003P015R001A048,2.4
414,S008C002P030R002A027,S003C001P002R001A027,3.9
415,S002C003P013R001A023,S012C001P028R002A022,1.4
416,S028C001P073R001A080,S008C003P034R001A008,1.6
417,S002C002P010R002A040,S008C003P007R001A039,1.4
418,S023C003P059R001A099,S027C002P084R002A099,3.818181818
419,S008C001P029R001A022,S011C001P018R002A022,1.727272727
420,S026C001P071R001A096,S029C001P006R002A096,4
421,S027C003P083R001A080,S001C001P002R001A008,2.090909091
422,S012C003P008R001A009,S016C003P021R001A009,3.8
423,S030C001P095R001A098,S027C002P086R002A098,3.7
424,S017C002P003R002A007,S024C001P060R002A095,1.1
425,S032C001P105R001A101,S002C002P003R002A008,1.1
426,S022C003P061R001A101,S028C001P043R002A101,3.2
427,S031C001P097R002A100,S032C002P105R002A099,1.9
428,S021C003P058R001A098,S021C001P058R001A098,3.9
429,S027C001P084R001A080,S008C001P032R002A035,1.444444444
430,S011C001P038R001A039,S002C003P012R001A026,1
431,S015C001P019R002A023,S007C002P027R002A023,2.3
432,S027C003P083R001A098,S027C001P086R002A098,3.5
433,S032C001P105R001A100,S021C002P058R002A099,1.9
434,S002C003P013R001A039,S002C002P012R002A039,3.8
435,S020C003P052R001A100,S002C001P014R002A027,1.2
436,S016C002P039R002A026,S006C001P023R001A027,1.6
437,S006C003P023R001A027,S019C002P008R002A100,1.2
438,S010C002P013R002A026,S001C001P005R002A026,3.333333333
439,S010C003P021R001A048,S008C001P035R002A048,3.2
440,S008C001P031R001A007,S011C003P028R001A007,3.888888889
441,S014C002P039R002A023,S006C001P022R002A022,1.2
442,S030C001P044R002A102,S030C002P044R002A102,4
443,S031C001P096R001A080,S026C001P050R002A080,2.454545455
444,S027C001P083R001A100,S025C002P066R002A099,1.5
445,S001C002P004R002A035,S001C003P005R001A048,2
446,S027C001P079R001A096,S003C003P017R001A039,1.363636364
447,S001C003P008R001A048,S008C003P036R001A048,1.916666667
448,S019C003P051R001A100,S027C002P084R002A100,3.5
449,S008C002P033R002A007,S019C003P046R001A095,1.25
450,S017C002P003R002A007,S004C001P003R001A023,1.3
451,S007C002P018R002A035,S030C002P095R002A080,1.333333333
452,S008C001P033R002A007,S015C002P019R002A023,1.3
453,S026C002P050R002A101,S013C001P008R001A008,1.1
454,S031C001P097R001A101,S027C002P081R002A101,3.4
455,S008C001P036R001A040,S004C001P020R002A039,1.666666667
456,S013C001P018R002A048,S017C001P020R001A048,3.5
457,S028C003P073R001A095,S008C001P032R001A022,2
458,S032C001P102R002A096,S024C001P060R002A096,3.090909091
459,S021C001P055R002A095,S019C002P050R002A095,3.444444444
460,S008C003P030R001A039,S013C002P019R002A039,3.909090909
461,S021C002P060R002A080,S006C001P023R002A008,1.9
462,S010C003P008R001A039,S017C003P020R001A048,1
463,S010C001P025R002A027,S027C002P084R002A100,1
464,S015C001P008R002A007,S014C001P017R001A023,1.3
465,S026C001P072R002A102,S027C002P084R002A102,3.2
466,S027C001P083R001A098,S024C002P061R002A098,4
467,S006C003P001R001A008,S008C003P025R001A008,3.444444444
468,S027C001P084R001A098,S027C001P011R002A097,1.4
469,S017C001P003R001A039,S025C003P068R001A096,1.8
470,S008C003P036R001A035,S006C001P022R001A035,2.5
471,S016C003P039R001A035,S008C001P031R002A048,2
472,S011C002P038R002A026,S030C003P092R001A099,1.7
473,S026C001P050R001A102,S017C002P020R002A026,1
474,S023C001P061R002A096,S031C003P097R001A098,1.083333333
475,S005C001P010R002A009,S013C001P018R002A009,3.888888889
476,S021C001P058R002A099,S024C003P061R001A099,3.8
477,S025C001P066R002A099,S027C001P086R002A099,3.818181818
478,S029C001P075R002A101,S002C002P014R002A048,1.454545455
479,S001C003P002R001A008,S008C003P033R001A035,1
480,S008C002P029R002A048,S029C001P075R002A101,1.9
481,S008C001P029R002A026,S008C002P029R002A026,4
482,S003C001P002R001A048,S003C003P002R001A048,3.909090909
483,S032C001P105R001A101,S002C003P009R001A048,1.555555556
484,S008C001P032R002A048,S016C002P021R002A039,1.3
485,S003C003P002R001A039,S001C002P003R002A040,1.5
486,S030C001P011R002A095,S016C001P008R002A022,2.4
487,S002C001P014R002A008,S005C003P010R001A035,1.555555556
488,S030C001P043R002A080,S031C001P096R001A080,2.9
489,S001C003P006R001A039,S028C001P073R002A096,1.1
490,S010C002P025R002A027,S031C002P097R002A099,1.444444444
491,S016C001P040R001A008,S016C003P040R001A008,3.9
492,S005C003P021R001A007,S014C003P017R001A007,1.636363636
493,S014C001P039R001A007,S011C001P016R001A007,3.727272727
494,S008C002P029R002A039,S006C001P022R002A026,1
495,S012C003P008R001A027,S002C003P012R001A027,3.9
